Date,close_val,,
04.01.1999,29.63,,
05.01.1999,29.5,,
06.01.1999,29.72,,
07.01.1999,31,,
08.01.1999,32.57,,
11.01.1999,32.22,,
12.01.1999,33.44,,
13.01.1999,31.82,,
14.01.1999,30.25,,
15.01.1999,31.91,,
19.01.1999,32.5,,
20.01.1999,32.53,,
21.01.1999,33,,
22.01.1999,33.16,,
25.01.1999,32.69,,
26.01.1999,32.19,,
27.01.1999,32.1,,
28.01.1999,32.6,,
29.01.1999,33,,
01.02.1999,32.97,,
02.02.1999,32.41,,
03.02.1999,32.03,,
04.02.1999,30.88,,
05.02.1999,31.47,,
08.02.1999,32.35,,
09.02.1999,31.94,,
10.02.1999,31.53,,
11.02.1999,31.35,,
12.02.1999,31.35,,
16.02.1999,31.57,,
17.02.1999,30.97,,
18.02.1999,30.66,,
19.02.1999,31.25,,
22.02.1999,32,,
23.02.1999,32.66,,
24.02.1999,34.13,,
25.02.1999,33,,
26.02.1999,32.5,,
01.03.1999,31.75,,
02.03.1999,31.32,,
03.03.1999,31.69,,
04.03.1999,32.5,,
05.03.1999,32.94,,
08.03.1999,33.35,,
09.03.1999,33.88,,
10.03.1999,35,,
11.03.1999,35.28,,
12.03.1999,34.44,,
15.03.1999,34,,
16.03.1999,33.47,,
17.03.1999,33.82,,
18.03.1999,34.82,,
19.03.1999,34.63,,
22.03.1999,33.85,,
23.03.1999,32.97,,
24.03.1999,32.91,,
25.03.1999,32.88,,
26.03.1999,32.53,,
29.03.1999,33.1,,
30.03.1999,32.5,,
31.03.1999,32.13,,
01.04.1999,32.22,,
05.04.1999,31.57,,
06.04.1999,31.53,,
07.04.1999,31.28,,
08.04.1999,31.97,,
09.04.1999,32.03,,
12.04.1999,31,,
13.04.1999,32.97,,
14.04.1999,33.69,,
15.04.1999,34.5,,
16.04.1999,34.75,,
19.04.1999,34,,
20.04.1999,33.32,,
21.04.1999,33.35,,
22.04.1999,34.38,,
23.04.1999,34.5,,
26.04.1999,34.32,,
27.04.1999,35,,
28.04.1999,36,,
29.04.1999,37,,
30.04.1999,37.63,,
03.05.1999,37.85,,
04.05.1999,38.1,,
05.05.1999,38.47,,
06.05.1999,38,,
07.05.1999,38.13,,
10.05.1999,37.6,,
11.05.1999,37.57,,
12.05.1999,37.25,,
13.05.1999,37.28,,
14.05.1999,36.38,,
17.05.1999,36.75,,
18.05.1999,36.28,,
19.05.1999,36.5,,
20.05.1999,37.03,,
21.05.1999,36.66,,
24.05.1999,36.07,,
25.05.1999,36.44,,
26.05.1999,36.5,,
27.05.1999,35.25,,
28.05.1999,35.69,,
01.06.1999,36.25,,
02.06.1999,37.44,,
03.06.1999,38.22,,
04.06.1999,39.47,,
07.06.1999,38.97,,
08.06.1999,38.66,,
09.06.1999,39.16,,
10.06.1999,39.28,,
11.06.1999,40.5,,
14.06.1999,41.1,,
15.06.1999,39.72,,
16.06.1999,39.19,,
17.06.1999,39.6,,
18.06.1999,38.94,,
21.06.1999,38.32,,
22.06.1999,38.5,,
23.06.1999,38.66,,
24.06.1999,38.63,,
25.06.1999,38.5,,
28.06.1999,39.72,,
29.06.1999,40.6,,
30.06.1999,40.88,,
01.07.1999,40.57,,
02.07.1999,40.63,,
06.07.1999,41.94,,
07.07.1999,41.82,,
08.07.1999,42.25,,
09.07.1999,43.19,,
12.07.1999,42.57,,
13.07.1999,42,,
14.07.1999,41.28,,
15.07.1999,40.97,,
16.07.1999,42,,
19.07.1999,42.66,,
20.07.1999,42.78,,
21.07.1999,42.63,,
22.07.1999,41.94,,
23.07.1999,41.94,,
26.07.1999,41.97,,
27.07.1999,41.91,,
28.07.1999,42,,
29.07.1999,42.03,,
30.07.1999,42.6,,
02.08.1999,42.03,,
03.08.1999,42.13,,
04.08.1999,42.38,,
05.08.1999,42.72,,
06.08.1999,43.41,,
09.08.1999,44.07,,
10.08.1999,44.28,,
11.08.1999,44.02,,
12.08.1999,43,,
13.08.1999,43.85,,
16.08.1999,43.88,,
17.08.1999,44.31,,
18.08.1999,43.69,,
19.08.1999,43.75,,
20.08.1999,43.94,,
23.08.1999,44.25,,
24.08.1999,43.94,,
25.08.1999,43.13,,
26.08.1999,42.06,,
27.08.1999,42.38,,
30.08.1999,41.25,,
31.08.1999,41.88,,
01.09.1999,41.31,,
02.09.1999,40.19,,
03.09.1999,41.5,,
07.09.1999,41.38,,
08.09.1999,40.44,,
09.09.1999,42.25,,
10.09.1999,42.81,,
13.09.1999,41.94,,
14.09.1999,41.94,,
15.09.1999,41.63,,
16.09.1999,41.69,,
17.09.1999,42.25,,
20.09.1999,41.25,,
21.09.1999,39.5,,
22.09.1999,39.5,,
23.09.1999,39,,
24.09.1999,39.81,,
27.09.1999,38.99,,
28.09.1999,39.25,,
29.09.1999,39.5,,
30.09.1999,41.06,,
01.10.1999,40.94,,
04.10.1999,40.19,,
05.10.1999,40,,
06.10.1999,38.38,,
07.10.1999,37,,
08.10.1999,38.94,,
11.10.1999,38.88,,
12.10.1999,38.81,,
13.10.1999,40.06,,
14.10.1999,39.06,,
15.10.1999,38.25,,
18.10.1999,38.19,,
19.10.1999,39.25,,
20.10.1999,39.25,,
21.10.1999,38.31,,
22.10.1999,39.06,,
25.10.1999,37.25,,
26.10.1999,37.69,,
27.10.1999,39.31,,
28.10.1999,40.31,,
29.10.1999,39.94,,
01.11.1999,37.69,,
02.11.1999,38.25,,
03.11.1999,40,,
04.11.1999,38.56,,
05.11.1999,37.94,,
08.11.1999,38.38,,
09.11.1999,39.25,,
10.11.1999,40.81,,
11.11.1999,41.88,,
12.11.1999,42.63,,
15.11.1999,42.31,,
16.11.1999,41.06,,
17.11.1999,40.44,,
18.11.1999,40.25,,
19.11.1999,39,,
22.11.1999,37,,
23.11.1999,35.5,,
24.11.1999,38.69,,
26.11.1999,37.75,,
29.11.1999,37.75,,
30.11.1999,38.06,,
01.12.1999,37.73,,
02.12.1999,37.81,,
03.12.1999,37.88,,
06.12.1999,37.63,,
07.12.1999,36.19,,
08.12.1999,36.44,,
09.12.1999,38.94,,
10.12.1999,37.44,,
13.12.1999,37.45,,
14.12.1999,36.63,,
15.12.1999,37.38,,
16.12.1999,37,,
17.12.1999,41,,
20.12.1999,40.75,,
21.12.1999,40.5,,
22.12.1999,40.25,,
27.12.1999,40.06,,
23.12.1999,42.69,,
28.12.1999,42.88,,
29.12.1999,43.31,,
30.12.1999,44.25,,
31.12.1999,44.38,,
03.01.2000,43.44,,
04.01.2000,42.5,,
05.01.2000,43.88,,
06.01.2000,47.94,,
07.01.2000,49.06,,
10.01.2000,47.31,,
11.01.2000,47.31,,
12.01.2000,51.5,,
13.01.2000,53.38,,                 
14.01.2000,56.38,, 
18.01.2000,55.5,,
19.01.2000,53.5,,
20.01.2000,67.38,,
21.01.2000,71.63,,
24.01.2000,65,,
25.01.2000,61.25,,
26.01.2000,61.13,,
27.01.2000,61,,
28.01.2000,60.19,,
31.01.2000,67.88,,
01.02.2000,64.5,,
02.02.2000,62.88,,
03.02.2000,63.69,,
04.02.2000,61.75,,
07.02.2000,62.5,,
08.02.2000,66.13,,
09.02.2000,66.44,,
10.02.2000,67.63,,
11.02.2000,65.88,,
14.02.2000,67.81,,
15.02.2000,68.94,,
16.02.2000,69.88,,
17.02.2000,70.31,,
18.02.2000,69.19,,
22.02.2000,66,,
23.02.2000,65.44,,
24.02.2000,65.56,,
25.02.2000,65.63,,
28.02.2000,64.81,,
29.02.2000,68.75,,
01.03.2000,69,,
02.03.2000,68.38,,
03.03.2000,68.5,,
06.03.2000,68.75,,
07.03.2000,71.31,,
08.03.2000,67.19,,
09.03.2000,65.94,,
10.03.2000,68.13,,
13.03.2000,66,,
14.03.2000,65.19,,
15.03.2000,68.44,,
16.03.2000,69.44,,
17.03.2000,69.25,,
20.03.2000,68.56,,
21.03.2000,71.75,,
22.03.2000,75.06,,
23.03.2000,73,,
27.03.2000,75.31,,
28.03.2000,72.81,,
29.03.2000,76.5,,
30.03.2000,72.06,,
31.03.2000,74.88,,
03.04.2000,73.56,,
04.04.2000,65.44,,
05.04.2000,66.56,,
06.04.2000,67.94,,
07.04.2000,69.94,,
10.04.2000,70.25,,
11.04.2000,69.13,,
12.04.2000,71.13,,
13.04.2000,73.81,,
14.04.2000,69.75,,
17.04.2000,66.75,,
18.04.2000,68,,
19.04.2000,70.5,,
20.04.2000,71,,
24.04.2000,70.5,,
25.04.2000,73.75,,
26.04.2000,72.94,,
27.04.2000,71.94,,
28.04.2000,69.69,,
01.05.2000,72.31,,
02.05.2000,76,,
03.05.2000,74.63,,
04.05.2000,74.38,,
05.05.2000,74.25,,
08.05.2000,75.13,,
09.05.2000,72.56,,
10.05.2000,74.75,,
11.05.2000,77,,
12.05.2000,75.56,,
15.05.2000,76.94,,
16.05.2000,77.88,,
17.05.2000,77.5,,
18.05.2000,77.13,,
19.05.2000,76.63,,
22.05.2000,73.25,,
23.05.2000,69.88,,
24.05.2000,67.44,,
25.05.2000,69,,
26.05.2000,69.94,,
30.05.2000,69.88,,
31.05.2000,71.63,,
01.06.2000,71.13,,
02.06.2000,69.5,,
05.06.2000,66,,
06.06.2000,70.19,,
07.06.2000,71.38,,
08.06.2000,73.06,,
09.06.2000,71.5,,
12.06.2000,73.25,,
13.06.2000,74,,
14.06.2000,72,,
15.06.2000,71.25,,
16.06.2000,71.63,,
19.06.2000,71.06,,
20.06.2000,72.69,,
21.06.2000,74.19,,
22.06.2000,73.44,,
23.06.2000,73.19,,
26.06.2000,69.63,,
27.06.2000,68.85,,
28.06.2000,68.81,,
29.06.2000,68.5,,
30.06.2000,64.5,,
03.07.2000,68,,
05.07.2000,66.44,,
06.07.2000,67.06,,
07.07.2000,67.63,,
10.07.2000,68.88,,
11.07.2000,70.75,,
12.07.2000,71.31,,
13.07.2000,71.5,,
14.07.2000,71.88,,
17.07.2000,72.41,,
18.07.2000,72.5,,
19.07.2000,72.56,,
20.07.2000,71.25,,
21.07.2000,73,,
24.07.2000,73,,
25.07.2000,71.69,,
26.07.2000,72.34,,
27.07.2000,77,,
28.07.2000,75.1,,
31.07.2000,73.75,,
01.08.2000,76,,
02.08.2000,77.63,,
03.08.2000,78.02,,
04.08.2000,78,,
07.08.2000,80.27,,
08.08.2000,82.44,,
09.08.2000,82.3,,
10.08.2000,80.77,,
11.08.2000,80.25,,
14.08.2000,84.25,,
15.08.2000,82.13,,
16.08.2000,83.88,,
17.08.2000,90,,
18.08.2000,86.94,,
21.08.2000,87.88,,
22.08.2000,87.5,,
23.08.2000,90,,
24.08.2000,86,,
25.08.2000,84.88,,
28.08.2000,86.63,,
29.08.2000,86.25,,
30.08.2000,84.88,,
31.08.2000,84.88,,
01.09.2000,85.33,,
05.09.2000,85,,
06.09.2000,84.38,,
07.09.2000,83.88,,
08.09.2000,84.21,,
11.09.2000,86.02,,
12.09.2000,86.13,,
13.09.2000,86.69,,
14.09.2000,86.7,,
15.09.2000,89.44,,
18.09.2000,89.63,,
19.09.2000,84.88,,
20.09.2000,82.18,,
21.09.2000,80.75,,
22.09.2000,83,,
25.09.2000,84.44,,
26.09.2000,85.5,,
27.09.2000,87.46,,
28.09.2000,89.25,,
29.09.2000,87.64,,
02.10.2000,86.44,,
03.10.2000,85.56,,
04.10.2000,83.06,,
05.10.2000,83,,
06.10.2000,81.63,,
09.10.2000,83,,
10.10.2000,81.69,,
11.10.2000,82.81,,
12.10.2000,79.88,,
13.10.2000,79.5,,
16.10.2000,80,,
17.10.2000,79.19,,
18.10.2000,78.75,,
19.10.2000,79,,
20.10.2000,80.5,,
23.10.2000,83,,
